,supervoxel_id,root_id,pos_x,pos_y,pos_z,soma_x,soma_y,soma_z,nucleus_id,flow,super_class,cell_class,cell_sub_class,supertype,cell_type,hemibrain_type,ito_lee_hemilineage,hartenstein_hemilineage,top_nt,top_nt_conf,known_nt,known_nt_source,side,nerve,vfb_id,fbbt_id,status,dimorphism,matching_notes,fru_dsx,synonyms
42069,7.96626418277794e+16,720575940606866377,131309.0,83903.0,5798.0,128711.0,85660.0,1936.0,,efferent,descending,,,,DNg103,,putative_primary,putative_primary,gaba,0.540989962972507,,,right,CV,fw042125,FBbt_00047516,,isomorphic,,,
42429,8.12800914804963e+16,720575940629275898,154863.0,69156.0,584.0,,,,,afferent,sensory,hygrosensory,dry,,HRN_VP4,HRN_VP4,,,acetylcholine,0.863129652050108,,,right,AN,fw042485,FBbt_00047225,,isomorphic,,,
44114,8.14910602744734e+16,720575940618759128,157876.0,66253.0,888.0,,,,,afferent,sensory,olfactory,,,ORN_VL2a,ORN_VL2a,,,acetylcholine,0.729549588568226,acetylcholine,"Yasuyama et al. 1999 (immuno); Carlsson et al., 2010 (immuno)",right,AN,fw044166,FBbt_00110007,,isomorphic,,fru,
46725,7.86778913910578e+16,720575940607058524,117447.0,90368.0,3598.0,,,,,afferent,sensory,mechanosensory,eye bristle,,BM_InOm,,,,acetylcholine,0.533099765698239,,,left,MxLbN,fw046779,,,isomorphic,,,
47008,7.881828528156e+16,720575940620691811,119006.0,84893.0,3189.0,,,,,afferent,sensory,mechanosensory,eye bristle,,BM_InOm,,,,acetylcholine,0.610233864481285,,,left,MxLbN,fw047062,,,isomorphic,,,
47828,8.02964412264726e+16,720575940629837628,140230.0,91614.0,3460.0,,,,,afferent,sensory,mechanosensory,eye bristle,,BM_InOm,,,,acetylcholine,0.606922201929461,,,right,MxLbN,fw047877,,,isomorphic,,,
49371,8.45172604079998e+16,720575940620785030,202531.0,72248.0,4684.0,212230.0,71768.0,4420.0,,intrinsic,visual_projection,,,,MeTu1,"MC61,MC64",,,acetylcholine,0.893145529664679,acetylcholine,"Nern et al., 2024 (EASI-FISH)",right,,fw049454,,,isomorphic,,,
50188,8.09287977168217e+16,720575940644611016,149637.0,77003.0,2152.0,,,,,afferent,sensory,mechanosensory,grooming,,JO-F,,,,serotonin,0.43628290656165,,,right,AN,fw050269,,,isomorphic,,,
50316,7.56507296540411e+16,720575940620123771,72984.0,70888.0,3081.0,72984.0,70888.0,3081.0,1333645.0,intrinsic,visual_projection,,,,TmY14,,,,glutamate,0.607030510407749,,,left,,fw063933,FBbt_00111286,,isomorphic,,,
50996,8.24771162474617e+16,720575940620972141,172368.0,80280.0,2370.0,172368.0,80280.0,2370.0,7164607.0,intrinsic,optic,ME,columnar,,Mi4,,,,gaba,0.846003553087614,"gaba, nitric oxide","Davis et al., 2020 (TAPIN)",right,,fw050898,,,isomorphic,,,
51208,7.76207799482676e+16,720575940621702383,101768.0,66728.0,5160.0,101768.0,66728.0,5160.0,2574636.0,intrinsic,optic,LO>ME,tangential,,LMt2,,,,glutamate,0.637966222337983,,,left,,fw051112,,,isomorphic,,,
51311,7.70588607201486e+16,720575940623901927,93656.0,82136.0,4889.0,93656.0,82136.0,4889.0,2142830.0,intrinsic,optic,ME>LOP,,,T4d,,,,acetylcholine,0.565316851165798,acetylcholine,Takemura et al. 2011 (RT-PCR),left,,fw051217,,,isomorphic,,,
51815,7.62141611133933e+16,720575940626707996,81728.0,77464.0,6365.0,81728.0,77464.0,6365.0,1570638.0,intrinsic,optic,ME>LOP,,,T4a,,,,acetylcholine,0.558206899686747,acetylcholine,Takemura et al. 2011 (RT-PCR),left,,fw051724,,,isomorphic,,,
54065,7.67068797613655e+16,720575940623255443,88488.0,80120.0,6191.0,88488.0,80120.0,6191.0,1960170.0,intrinsic,optic,ME>LOP,,,T4b,,,,acetylcholine,0.577289510918163,acetylcholine,Takemura et al. 2011 (RT-PCR),left,,fw053977,,,isomorphic,,,
54998,7.6495155054099e+16,720575940624707827,85520.0,70664.0,6599.0,85520.0,70664.0,6599.0,1944350.0,intrinsic,optic,ME>LOP,,,T4b,,,,acetylcholine,0.575392920011406,acetylcholine,Takemura et al. 2011 (RT-PCR),left,,fw054910,,,isomorphic,,,
55062,8.21961225082898e+16,720575940627179401,168328.0,87256.0,3938.0,168328.0,87256.0,3938.0,7212899.0,intrinsic,optic,ME>LOP,,,T4c,,,,acetylcholine,0.448780024398337,acetylcholine,Takemura et al. 2011 (RT-PCR),right,,fw054974,,,isomorphic,,,
55289,8.29690101949687e+16,720575940639195453,179552.0,69744.0,1950.0,179552.0,69744.0,1950.0,7436495.0,intrinsic,optic,ME>LO,,,Tm36,,,,acetylcholine,0.695661147575103,,,right,,fw055201,,,sexually dimorphic,"the male dendrites have an extra layer of arborisation in layer 3 of the ME, and also more arborisation in the LP",,
55575,7.64257483154403e+16,720575940624433225,84400.0,85424.0,6019.0,84400.0,85424.0,6019.0,1969132.0,intrinsic,optic,ME>LO,,,T2a,,,,acetylcholine,0.858154876058529,,,left,,fw055486,,,isomorphic,,,
56727,7.64951550539811e+16,720575940623110349,85720.0,70408.0,6510.0,85720.0,70408.0,6510.0,1944446.0,intrinsic,optic,ME>LOP,,,T4a,,,,acetylcholine,0.515660516913366,acetylcholine,Takemura et al. 2011 (RT-PCR),left,,fw056637,,,isomorphic,,,
56930,8.24775286311305e+16,720575940622684374,172904.0,86024.0,2893.0,172904.0,86024.0,2893.0,7477630.0,intrinsic,optic,ME,columnar,,Mi4,,,,gaba,0.883832353667276,"gaba, nitric oxide","Davis et al., 2020 (TAPIN)",right,,fw056840,,,isomorphic,,,
57837,8.254734755278e+16,720575940637376368,173576.0,77472.0,2417.0,173576.0,77472.0,2417.0,7461564.0,intrinsic,optic,ME>LO,,,Tm5f,,,,acetylcholine,0.864420736554975,,,right,,fw057748,,,isomorphic,,,
59284,8.31100912806194e+16,720575940614527594,181272.0,75328.0,1993.0,181272.0,75328.0,1993.0,7698009.0,intrinsic,optic,ME>LO,,,Tm9,,,,acetylcholine,0.726208832947906,acetylcholine,"Davis et al., 2020 (TAPIN)",right,,fw059195,,,isomorphic,,,
59881,8.2829097407082e+16,720575940635974263,177576.0,82312.0,2207.0,177576.0,82312.0,2207.0,7480102.0,intrinsic,optic,ME>LO,,,Tm5c,,,,glutamate,0.580530514290621,,,right,,fw059792,,,isomorphic,,,
60015,7.61415244250051e+16,720575940618248153,80264.0,44056.0,4703.0,80264.0,44056.0,4703.0,1499205.0,intrinsic,optic,ME,,,Pm03,,,,gaba,0.622638197833544,gaba,"Nern et al., 2024 (EASI-FISH)",left,,fw059926,,,isomorphic,,,
60016,7.76214670091303e+16,720575940622971141,101656.0,76992.0,4374.0,101656.0,76992.0,4374.0,2697766.0,intrinsic,optic,LO,,,Li11,,,,gaba,0.776025081085427,,,left,,fw059927,,,isomorphic,,,
61584,8.30380734703783e+16,720575940612793457,181072.0,50264.0,3473.0,181072.0,50264.0,3473.0,7671155.0,intrinsic,optic,ME,,,Pm08,,,,gaba,0.781606421035498,gaba,"Nern et al., 2024 (EASI-FISH)",right,,fw061497,,,isomorphic,,,
62252,8.33898483375113e+16,720575940614312379,185312.0,48776.0,2560.0,185312.0,48776.0,2560.0,7655001.0,intrinsic,optic,ME,,,Mi4,,,,gaba,0.847663221606397,"glutamate, gaba; glutamate","Davis et al., 2020 (TAPIN); Takemura et al., 2017 (immuno)",right,,fw062165,,,isomorphic,,,
62337,8.49385106662477e+16,720575940638926938,208138.0,57336.0,3691.0,220664.0,55072.0,4112.0,8748146.0,intrinsic,optic,LA>ME,L1-5,,L3,,,,acetylcholine,0.816138431839378,acetylcholine,"Davis et al., 2020 (TAPIN)",right,,fw062252,FBbt_00003720,,isomorphic,,,
62747,7.44548737897764e+16,720575940613331966,55328.0,76896.0,6582.0,55328.0,76896.0,6582.0,960275.0,intrinsic,optic,ME>LO,,,Tm21,,,,acetylcholine,0.855426284268139,,,left,,fw062664,,,isomorphic,,,
62755,8.36737284960008e+16,720575940621627930,189603.0,84648.0,2452.0,188240.0,85512.0,2328.0,7737109.0,intrinsic,optic,ME.LO,,,Tm32,,,,glutamate,0.874252567599357,,,right,,fw062672,,,isomorphic,,,
62839,7.5440104927749e+16,720575940628351482,70152.0,78008.0,6595.0,70152.0,78008.0,6595.0,1353311.0,intrinsic,optic,ME>LO,,,T2,,,,acetylcholine,0.777991108327752,acetylcholine,"Konstantinides et  al., 2018 (FACS RNA-seq))",left,,fw062756,,,isomorphic,,,
63213,7.55105420555872e+16,720575940611100484,71484.0,78510.0,3824.0,74256.0,82808.0,3174.0,1572527.0,intrinsic,optic,ME,columnar,,Mi1,,,,acetylcholine,0.554102595265461,acetylcholine,"Davis et al., 2020 (TAPIN)",left,,fw063133,,,isomorphic,,,
63360,8.57144222111858e+16,720575940603987390,219509.0,85255.0,3379.0,219472.0,85280.0,3379.0,8991184.0,intrinsic,optic,LA>ME,L1-5,,L4,,,,acetylcholine,0.631046210263217,acetylcholine,"Davis et al., 2020 (TAPIN)",right,,fw063280,FBbt_00003722,,isomorphic,,,
63984,7.55806362572694e+16,720575940623526292,72008.0,75200.0,6286.0,72008.0,75200.0,6286.0,1354625.0,intrinsic,optic,ME>LA,,,C3,,,,gaba,0.737033948887655,"gaba, nitric oxide","Davis et al., 2020 (TAPIN)",left,,fw063907,,,isomorphic,,,
64242,8.51494796611892e+16,720575940626580296,210904.0,55208.0,5275.0,210904.0,55208.0,5275.0,8470385.0,intrinsic,optic,ME,,,Dm3p,,,,glutamate,0.758398095712152,glutamate,"Davis et al., 2020 (TAPIN)",right,,fw064168,,,isomorphic,,,
64717,8.36026730263883e+16,720575940634890095,189056.0,75064.0,5743.0,189056.0,75064.0,5743.0,7932625.0,intrinsic,optic,LO>LOP,,,T5b,,,,acetylcholine,0.575105170600901,acetylcholine; acetylcholine,Mauss et al. 2014 (immuno); Shinomiya et al. 2014 (RT-PCR),right,,fw064644,,,isomorphic,,,
65033,7.56509358121613e+16,720575940629155177,73490.0,74276.0,2906.0,73480.0,74264.0,2908.0,1345848.0,intrinsic,optic,ME>LO.LOP,,,TmY15,,,,gaba,0.772157632779851,gaba,Takemura et al. 2017 (immuno),left,,fw064962,,,isomorphic,,,
65406,8.33894360877693e+16,720575940613230846,185376.0,42800.0,2980.0,185376.0,42800.0,2980.0,7655003.0,intrinsic,optic,ME>LO,,,Tm1,,,,acetylcholine,0.642444142644739,acetylcholine; tachykinin,"Davis et al., 2020 (TAPIN); Winther et al., 2003 (immuno)",right,,fw065338,,,isomorphic,,,
66284,8.33188613191667e+16,720575940607613653,184832.0,39936.0,3767.0,184832.0,39936.0,3767.0,7618715.0,intrinsic,optic,ME,columnar,,Mi4,,,,gaba,0.821300055532672,"gaba, nitric oxide","Davis et al., 2020 (TAPIN)",right,,fw066220,,,isomorphic,,,
66342,8.33906042515899e+16,720575940604435814,185792.0,60424.0,2274.0,185792.0,60424.0,2274.0,7679959.0,intrinsic,optic,ME,,,Dm3p,,,,gaba,0.493958119525417,glutamate,"Davis et al., 2020 (TAPIN)",right,,fw066278,,,isomorphic,,,
66379,7.57891308811453e+16,720575940619586982,75048.0,36272.0,4258.0,75048.0,36272.0,4258.0,1432973.0,intrinsic,optic,ME>LO,,,Tm5c,,,,glutamate,0.720936486877618,,,left,,fw066315,,,isomorphic,,,
67836,7.5299298316907e+16,720575940634994807,67768.0,76728.0,3221.0,67768.0,76728.0,3221.0,1347032.0,intrinsic,optic,ME>LO,,,Tm5a,,,,acetylcholine,0.870877682606905,,,left,,fw067785,,,isomorphic,,,
70381,8.37429294117845e+16,720575940617446939,191401.0,67729.0,5599.0,190680.0,66152.0,5868.0,7922244.0,intrinsic,optic,LOP,,,LPi07,,,,gaba,0.454881845153044,,,right,,fw070349,,,isomorphic,,,
71110,8.437707254122e+16,720575940620037205,200115.0,80402.0,3633.0,208616.0,85000.0,3801.0,8560408.0,intrinsic,optic,ME>LO,,,Tm20,,,,acetylcholine,0.676552223687515,acetylcholine,"Davis et al., 2020 (TAPIN)",right,,fw071085,,,isomorphic,,,
73942,8.37432726735716e+16,720575940640818083,191248.0,72783.0,2979.0,187280.0,75424.0,2019.0,7702983.0,intrinsic,optic,ME>LO,,,Tm5d,,,,glutamate,0.626701517151601,glutamate,"Nern et al., 2024 (EASI-FISH)",right,,fw073962,,,isomorphic,,,
74252,8.45870793297761e+16,720575940634707481,203132.0,63672.0,4581.0,219059.0,65463.0,4905.0,,intrinsic,optic,ME>LO,,,Tm2,,,,acetylcholine,0.729170192404156,acetylcholine,"Davis et al., 2020 (TAPIN)",right,,fw074273,,,isomorphic,,,
74331,8.37429290758267e+16,720575940637617129,190905.0,67537.0,2713.0,187336.0,69752.0,2090.0,7692736.0,intrinsic,optic,ME>LO.LOP,,,Tm27,,,,acetylcholine,0.849821444340118,acetylcholine,"Nern et al., 2024 (EASI-FISH)",right,,fw074353,,,isomorphic,,,
74589,8.40957351380119e+16,720575940632152524,195679.0,81919.0,4905.0,210448.0,89144.0,4487.0,8563666.0,intrinsic,optic,ME>LO,,,Tm1,,,,acetylcholine,0.754392460077152,acetylcholine; tachykinin,"Davis et al., 2020 (TAPIN); Winther et al., 2003 (immuno)",right,,fw074612,,,isomorphic,,,
75269,8.29682547503924e+16,720575940630829568,179821.0,58238.0,5474.0,184184.0,58680.0,5985.0,7682677.0,intrinsic,optic,LOP>ME.LO,,,Y3,,,,acetylcholine,0.822208174316238,,,right,,fw075292,,,isomorphic,,,
78689,8.416514187664e+16,720575940623081827,197071.0,67221.0,5439.0,203672.0,69728.0,5845.0,8164735.0,intrinsic,optic,ME>LA,,,C2,,,,acetylcholine,0.489721199324341,gaba,"Davis et al., 2020 (TAPIN)",right,,fw078720,,,isomorphic,,,
79264,7.62145045765995e+16,720575940612967651,81343.0,82737.0,5360.0,79072.0,85072.0,6383.0,1582157.0,intrinsic,optic,ME>LO,,,T2,,,,acetylcholine,0.83411503196324,acetylcholine,"Konstantinides et  al., 2018 (FACS RNA-seq))",left,,fw079299,,,isomorphic,,,
81865,7.50868178963074e+16,720575940634887871,64779.0,56239.0,4895.0,54312.0,57944.0,4477.0,928297.0,intrinsic,optic,ME>LO,,,Tm21,,,,acetylcholine,0.711373599192185,,,left,,fw081904,,,isomorphic,,,
83316,8.40246104798112e+16,720575940639645859,195117.0,70899.0,5084.0,195096.0,70880.0,5108.0,7919152.0,intrinsic,optic,ME>LA,,,C2,,,,gaba,0.331628119482468,gaba,"Davis et al., 2020 (TAPIN)",right,,fw083360,,,isomorphic,,,
84273,7.52279675675851e+16,720575940632787916,66609.0,62774.0,4052.0,71272.0,59496.0,3227.0,1321021.0,intrinsic,optic,ME>LO.LOP,,,TmY4,,,,acetylcholine,0.784426495925496,acetylcholine,Konstantinides et al. 2022 (sc-RNAseq),left,,fw084317,,,isomorphic,,,
85337,7.51562245676163e+16,720575940629577342,66337.0,42018.0,4713.0,69664.0,39480.0,4374.0,1244142.0,intrinsic,optic,ME,,,Mi2,,,,glutamate,0.461068989202079,,,left,,fw085382,,,isomorphic,,,
86222,7.45956110767943e+16,720575940626493186,57287.0,76435.0,5034.0,48952.0,80464.0,5235.0,665091.0,intrinsic,optic,ME>LO,,,Tm4,,,,acetylcholine,0.616785454465357,acetylcholine,"Davis et al., 2020 (TAPIN)",left,,fw086268,,,isomorphic,,,
86468,7.5579124093675e+16,720575940617515988,72038.0,51846.0,4032.0,75128.0,46880.0,3534.0,1491454.0,intrinsic,optic,ME>LO,,,Tm9,,,,acetylcholine,0.784731611113682,acetylcholine,"Davis et al., 2020 (TAPIN)",left,,fw086514,,,isomorphic,,,
86650,7.45956110767783e+16,720575940630126848,57764.0,76635.0,5014.0,47032.0,80024.0,5275.0,663739.0,intrinsic,optic,ME>LO,,,Tm21,,,,acetylcholine,0.654657608264893,,,left,,fw086696,,,isomorphic,,,
86779,7.45952676803399e+16,720575940613752360,57619.0,71330.0,6263.0,49016.0,72696.0,6325.0,613483.0,intrinsic,optic,ME>LO,,,Tm4,,,,acetylcholine,0.708422912159765,acetylcholine,"Davis et al., 2020 (TAPIN)",left,,fw086825,,,isomorphic,,,
86948,7.62848046013628e+16,720575940621607334,81910.0,82421.0,5397.0,67264.0,90352.0,4781.0,1363329.0,intrinsic,optic,ME,,,Pm09,,,,gaba,0.721619605724695,gaba; allatostatin-a,"Davis et al., 2020 (TAPIN); Vitzthum et al., 1996 (immuno)",left,,fw086995,,,isomorphic,,,
88147,7.550882400183e+16,720575940610111171,71495.0,53714.0,3564.0,77673.0,52800.0,3283.0,,intrinsic,optic,ME,,,Mi15,,,,acetylcholine,0.490374047626234,"acetylcholine, nitric oxide, dopamine","Davis et al., 2020 (TAPIN)",left,,fw088195,,,isomorphic,,,
88184,8.38125421741744e+16,720575940638009919,191877.0,56802.0,4767.0,188768.0,59720.0,5850.0,7902740.0,intrinsic,optic,ME>LOP,,,T4b,,,,acetylcholine,0.584477003464196,acetylcholine,Takemura et al. 2011 (RT-PCR),right,,fw088233,,,isomorphic,,,
92261,8.35303112162833e+16,720575940619386430,188267.0,45376.0,4403.0,188760.0,40488.0,3818.0,7835006.0,intrinsic,optic,ME,,,Mi13,,,,glutamate,0.489561692338901,,,right,,fw092309,,,isomorphic,,,
93429,8.37445783432463e+16,720575940624715244,191246.0,92797.0,2705.0,191232.0,92824.0,2703.0,7950990.0,intrinsic,optic,ME>LO,,,Tm20,,,,acetylcholine,0.64051106225762,acetylcholine,"Davis et al., 2020 (TAPIN)",right,,fw093476,,,isomorphic,,,
94628,7.52283111649264e+16,720575940617950977,67429.0,67547.0,4016.0,69864.0,66360.0,3042.0,1332137.0,intrinsic,optic,ME>LO.LOP,,,Tm27,,,,acetylcholine,0.846513330721211,acetylcholine,"Nern et al., 2024 (EASI-FISH)",left,,fw094678,,,isomorphic,,,
95114,7.48766738035033e+16,720575940618429853,62027.0,71180.0,5359.0,49536.0,77912.0,4987.0,949885.0,intrinsic,optic,ME,,,Dm2,,,,acetylcholine,0.864340179224877,,,left,,fw095165,,,isomorphic,,,
95560,8.44450362379686e+16,720575940612980082,200687.0,43676.0,4688.0,202560.0,45984.0,2680.0,8075345.0,intrinsic,optic,LA>ME,L1-5,,L5,,,,acetylcholine,0.713769488569647,acetylcholine,"Davis et al., 2020 (TAPIN)",right,,fw095611,FBbt_00003725,,isomorphic,,,
95649,7.63548983336137e+16,720575940619554880,83228.0,77624.0,4546.0,77816.0,81872.0,6097.0,1564991.0,intrinsic,optic,ME>LA,,,C3,,,,gaba,0.79537613268455,"gaba, nitric oxide","Davis et al., 2020 (TAPIN)",left,,fw095700,,,isomorphic,,,
96053,8.3322022281124e+16,720575940615644066,184385.0,87503.0,2960.0,183736.0,91736.0,2712.0,7755198.0,intrinsic,optic,ME>LO,,,Tm20,,,,acetylcholine,0.552109406173742,acetylcholine,"Davis et al., 2020 (TAPIN)",right,,fw096104,,,isomorphic,,,
